model,dataset,N,strategy,regret_kind,n_problems,regret_mean,regret_median,regret_std,regret_p25,regret_p75,regret_p90,regret_p95,regret_p99,regret_max,regret_gt_10pp,regret_gt_20pp
Qwen2.5-3B,aime2025,512,T1.0,R2,26,0.047966538145444174,0.0,0.17380015876271887,0.0,0.0,0.021124999970197678,0.31447497569024563,0.7054916769266129,0.8055833578109741,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,T1.1,R1,26,0.07835974358469965,0.0,0.2698413128083175,0.0,0.0,0.023985000094398856,0.7523374997545034,0.9972583332564682,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,T1.1,R2,26,0.07802628304880972,0.0,0.2699104750272144,0.0,0.0,0.021124999970197678,0.7521875195670873,0.9972083398606628,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,T1.2,R1,26,0.07882384616487588,0.0,0.2713135416132571,0.0,0.0,0.023985000094398856,0.7605624999850988,1.0,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,T1.2,R2,26,0.07849038562898596,0.0,0.2713822093488889,0.0,0.0,0.021124999970197678,0.7604125197976828,0.9999500066041946,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,512,best_fixed_T,R1,26,0.0003334605358899213,0.0,0.0011958227069302284,0.0,0.0,0.0002749867853708565,0.0018875000823754817,0.004890000214800239,0.005720000248402357,0.0,0.0
Qwen2.5-3B,aime2025,512,best_fixed_T,R2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime2025,512,consensus_vote,R1,26,0.0018239743701402007,0.0,0.007579929692711624,0.0,0.0,0.001600000056996953,0.004802500214800239,0.03030333335073044,0.03853666660706202,0.0,0.0
Qwen2.5-3B,aime2025,512,consensus_vote,R2,26,0.0014905138342502793,0.0,0.007558069342667792,0.0,0.0,0.0,0.0006000000000000172,0.029102499955296523,0.03853666660706202,0.0,0.0
Qwen2.5-3B,aime2025,512,equal_mix,R1,26,0.0019046153957812258,0.0,0.008073132833131382,0.0,0.0,0.0013750000507570803,0.004890000214800239,0.03221750001739711,0.041049999940395356,0.0,0.0
Qwen2.5-3B,aime2025,512,equal_mix,R2,26,0.0015711548598913046,0.0,0.00805223141024321,0.0,0.0,0.0,0.0,0.03078749995529652,0.041049999940395356,0.0,0.0
