model,dataset,N,regret_kind,strategy_a,strategy_b,a_dominates_b,max_violation
Llama-3.2-3B,gsm8kfull,32,R1,T1.0,random_T,False,0.006828528072837625
Llama-3.2-3B,gsm8kfull,32,R1,T1.0,best_fixed_T,False,0.007587253414264028
Llama-3.2-3B,gsm8kfull,32,R1,equal_mix,T1.0,False,0.05159332321699539
Llama-3.2-3B,gsm8kfull,32,R1,equal_mix,consensus_vote,False,0.009104704097116844
Llama-3.2-3B,gsm8kfull,32,R1,equal_mix,random_T,False,0.01896813353566007
Llama-3.2-3B,gsm8kfull,32,R1,equal_mix,best_fixed_T,False,0.04931714719271618
Llama-3.2-3B,gsm8kfull,32,R1,consensus_vote,T1.0,False,0.04855842185128978
Llama-3.2-3B,gsm8kfull,32,R1,consensus_vote,equal_mix,False,0.019726858877086473
Llama-3.2-3B,gsm8kfull,32,R1,consensus_vote,random_T,False,0.026555386949924098
Llama-3.2-3B,gsm8kfull,32,R1,consensus_vote,best_fixed_T,False,0.050075872534142696
Llama-3.2-3B,gsm8kfull,32,R1,random_T,T1.0,False,0.18892261001517452
Llama-3.2-3B,gsm8kfull,32,R1,random_T,equal_mix,False,0.1562974203338391
Llama-3.2-3B,gsm8kfull,32,R1,random_T,consensus_vote,False,0.15553869499241268
Llama-3.2-3B,gsm8kfull,32,R1,random_T,best_fixed_T,False,0.18892261001517452
Llama-3.2-3B,gsm8kfull,32,R1,best_fixed_T,T1.0,False,0.003793626707132014
Llama-3.2-3B,gsm8kfull,32,R1,best_fixed_T,equal_mix,False,0.0015174506828528056
Llama-3.2-3B,gsm8kfull,32,R1,best_fixed_T,consensus_vote,False,0.009863429438543247
Llama-3.2-3B,gsm8kfull,32,R1,best_fixed_T,random_T,False,0.006069802731411222
Llama-3.2-3B,gsm8kfull,32,R2,T1.0,equal_mix,False,0.009863429438543247
Llama-3.2-3B,gsm8kfull,32,R2,T1.0,consensus_vote,False,0.01669195751138088
Llama-3.2-3B,gsm8kfull,32,R2,T1.0,random_T,False,0.002276176024279211
Llama-3.2-3B,gsm8kfull,32,R2,T1.0,best_fixed_T,False,0.11532625189681334
Llama-3.2-3B,gsm8kfull,32,R2,equal_mix,T1.0,False,0.05311077389984831
Llama-3.2-3B,gsm8kfull,32,R2,equal_mix,consensus_vote,False,0.009104704097116844
Llama-3.2-3B,gsm8kfull,32,R2,equal_mix,random_T,False,0.02200303490136568
Llama-3.2-3B,gsm8kfull,32,R2,equal_mix,best_fixed_T,False,0.16084977238239762
Llama-3.2-3B,gsm8kfull,32,R2,consensus_vote,T1.0,False,0.06297420333839154
Llama-3.2-3B,gsm8kfull,32,R2,consensus_vote,equal_mix,False,0.014415781487101653
Llama-3.2-3B,gsm8kfull,32,R2,consensus_vote,random_T,False,0.026555386949924098
Llama-3.2-3B,gsm8kfull,32,R2,consensus_vote,best_fixed_T,False,0.16540212443095603
Llama-3.2-3B,gsm8kfull,32,R2,random_T,T1.0,False,0.1813353566009105
Llama-3.2-3B,gsm8kfull,32,R2,random_T,equal_mix,False,0.15477996965098628
Llama-3.2-3B,gsm8kfull,32,R2,random_T,consensus_vote,False,0.13960546282245823
Llama-3.2-3B,gsm8kfull,32,R2,random_T,best_fixed_T,False,0.35660091047040976
Llama-3.2-3B,gsm8kfull,32,R2,best_fixed_T,T1.0,False,0.09484066767830046
Llama-3.2-3B,gsm8kfull,32,R2,best_fixed_T,equal_mix,False,0.07207890743550835
Llama-3.2-3B,gsm8kfull,32,R2,best_fixed_T,consensus_vote,False,0.08042488619119878
Llama-3.2-3B,gsm8kfull,32,R2,best_fixed_T,random_T,False,0.044764795144157814
Llama-3.2-3B,gsm8kfull,64,R1,T1.0,equal_mix,False,0.0007587253414264037
Llama-3.2-3B,gsm8kfull,64,R1,T1.0,consensus_vote,False,0.004552352048558417
Llama-3.2-3B,gsm8kfull,64,R1,T1.0,random_T,False,0.007587253414264028
Llama-3.2-3B,gsm8kfull,64,R1,T1.0,best_fixed_T,False,0.009104704097116945
Llama-3.2-3B,gsm8kfull,64,R1,equal_mix,T1.0,False,0.04248861911987856
Llama-3.2-3B,gsm8kfull,64,R1,equal_mix,consensus_vote,False,0.0037936267071320183
Llama-3.2-3B,gsm8kfull,64,R1,equal_mix,random_T,False,0.018209408194233667
Llama-3.2-3B,gsm8kfull,64,R1,equal_mix,best_fixed_T,False,0.04400606980273136
Llama-3.2-3B,gsm8kfull,64,R1,consensus_vote,T1.0,False,0.04324734446130507
Llama-3.2-3B,gsm8kfull,64,R1,consensus_vote,equal_mix,False,0.014415781487101653
Llama-3.2-3B,gsm8kfull,64,R1,consensus_vote,random_T,False,0.017450682852807264
Llama-3.2-3B,gsm8kfull,64,R1,consensus_vote,best_fixed_T,False,0.04552352048558428
Llama-3.2-3B,gsm8kfull,64,R1,random_T,T1.0,False,0.17754172989377848
Llama-3.2-3B,gsm8kfull,64,R1,random_T,equal_mix,False,0.14643399089529585
Llama-3.2-3B,gsm8kfull,64,R1,random_T,consensus_vote,False,0.1320182094081942
Llama-3.2-3B,gsm8kfull,64,R1,random_T,best_fixed_T,False,0.17981790591805769
Llama-3.2-3B,gsm8kfull,64,R1,best_fixed_T,T1.0,False,0.003034901365705611
