model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L2,62,256,0.2,0.968,0.009,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.3,0.919,0.019,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.4,0.903,0.013,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.5,0.917,0.017,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.6,0.919,0.009,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.7,0.925,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.8,0.935,0.009,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,0.9,0.944,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,1.0,0.922,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,1.1,0.79,0.021,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,256,1.2,0.578,0.017,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.1,0.469,0.062,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.2,0.524,0.065,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.3,0.583,0.045,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.4,0.535,0.074,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.5,0.531,0.052,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.6,0.576,0.072,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.7,0.569,0.037,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.8,0.524,0.077,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,0.9,0.517,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,1.0,0.483,0.103,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,1.1,0.42,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,1,1.2,0.281,0.052,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.1,0.469,0.062,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.2,0.524,0.065,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.3,0.583,0.045,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.4,0.535,0.074,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.5,0.531,0.052,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.6,0.576,0.072,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.7,0.569,0.037,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.8,0.524,0.077,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,0.9,0.517,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,1.0,0.483,0.103,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,1.1,0.42,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,2,1.2,0.281,0.052,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.1,0.531,0.069,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.2,0.667,0.052,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.3,0.667,0.047,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.4,0.67,0.072,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.5,0.701,0.039,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.6,0.712,0.068,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.7,0.684,0.033,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.8,0.681,0.078,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,0.9,0.66,0.059,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,1.0,0.611,0.082,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,1.1,0.549,0.063,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,4,1.2,0.378,0.064,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.1,0.656,0.051,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.2,0.733,0.064,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.3,0.757,0.026,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.4,0.764,0.041,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.5,0.76,0.026,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.6,0.802,0.046,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.7,0.76,0.016,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L3,48,8,0.8,0.75,0.059,markdown,gsm8kfull
