model,dataset,stratum,N,acc_t1p0_mean,acc_t1p0_std,acc_t0p1_mean,acc_t0p1_std,acc_random_t_mean
Phi-4-mini-instruct,math500,overall_md_compat,128,0.6598397103498822,0.0032158216069543,0.651714273424823,0.0026592614457064,0.6611678897900081
Phi-4-mini-instruct,math500,overall_md_compat,256,0.6602725368152567,0.0020420459719279,0.6504367575892862,0.0022965738838864,0.6620741617012637
Phi-4-mini-instruct,math500,overall_md_compat,512,0.6606132075666293,0.0018435273223854,0.64980345914579,0.0020648752983485,0.6632716053824126
Phi-4-mini-instruct,math500,overall_md_compat,1024,0.6601487887554017,0.0010897681906369,0.6490522362701829,0.0013740769370393,0.664325646203204
Phi-4-mini-instruct,math500,overall_md_compat,1536,0.6598881901180662,0.0015315383033103,0.6484145703269943,0.0011889270275216,0.6652326461104747
Phi-4-mini-instruct,math500,overall_md_compat,2048,0.6599274982856411,0.0011994321357325,0.6481088399906609,0.0008482765326548,0.664225191894169
Qwen2.5-3B,aime,L1,1,0.6597222222222222,0.041036917795773,0.9375,0.0327554050103431,0.7638888938559426
Qwen2.5-3B,aime,L1,2,0.684722226527002,0.030731818952165,0.9527777797645992,0.0108253137236683,0.754166666004393
Qwen2.5-3B,aime,L1,4,0.8136574029922484,0.0387880006820653,0.996180557542377,0.0066861657993436,0.893518524037467
Qwen2.5-3B,aime,L1,8,0.9028521809313031,0.0289002998841427,1.0,0.0,0.9405935870276556
Qwen2.5-3B,aime,L1,16,0.97731480995814,0.0284501951451032,1.0,0.0,0.9687499966886308
Qwen2.5-3B,aime,L1,32,0.9930555522441864,0.0134371019151668,1.0,0.0,0.9659722215599484
Qwen2.5-3B,aime,L1,64,1.0,0.0,1.0,0.0,0.96875
Qwen2.5-3B,aime,L1,128,1.0,0.0,1.0,0.0,0.9708333346578808
Qwen2.5-3B,aime,L1,256,1.0,0.0,1.0,0.0,0.9694444470935396
Qwen2.5-3B,aime,L1,512,1.0,0.0,1.0,0.0,0.9666666620307498
Qwen2.5-3B,aime,L1,1024,1.0,0.0,1.0,0.0,0.9694444437821708
Qwen2.5-3B,aime,L1,1536,1.0,0.0,1.0,0.0,0.9736111130979328
Qwen2.5-3B,aime,L1,2048,1.0,0.0,1.0,0.0,0.976388884915246
Qwen2.5-3B,aime,L3,1,0.2930555573354165,0.0791008518302193,0.4777777774466409,0.072264946278545,0.3597222194075584
Qwen2.5-3B,aime,L3,2,0.2902777740317914,0.0434613469799034,0.5333333379692502,0.0524073257855274,0.4347222199042638
Qwen2.5-3B,aime,L3,4,0.3906249967921111,0.0522861755868995,0.720023148589664,0.0637449351764172,0.5094907407959303
Qwen2.5-3B,aime,L3,8,0.4858812798435489,0.0491248523690632,0.9008002645439572,0.0533214039373856,0.6521560839480823
Qwen2.5-3B,aime,L3,16,0.6084009239243136,0.0370132979387588,0.9812500046359168,0.0188653835103773,0.7707221210002899
Qwen2.5-3B,aime,L3,32,0.662667551310733,0.0266174319450302,0.9986111124356588,0.005892550890308,0.8137996113962598
Qwen2.5-3B,aime,L3,64,0.7026620341671838,0.0354404899222537,1.0,0.0,0.8567592600981394
Qwen2.5-3B,aime,L3,128,0.7148611115084753,0.00626387372888,1.0,0.0,0.8983796371353998
Qwen2.5-3B,aime,L3,256,0.7273148140973514,0.0230572289466955,1.0,0.0,0.912500003973643
Qwen2.5-3B,aime,L3,512,0.7266203711430231,0.0305587150976391,1.0,0.0,0.9094907442728678
Qwen2.5-3B,aime,L3,1024,0.7324074084560076,0.0247518517523306,1.0,0.0,0.9289351867304908
Qwen2.5-3B,aime,L3,1536,0.7296296296020349,0.0294103567897409,1.0,0.0,0.9124999973509046
Qwen2.5-3B,aime,L3,2048,0.7173611107799741,0.0190485493886546,1.0,0.0,0.9256944490803612
Qwen2.5-3B,aime,L4,1,0.0812500012107192,0.0548672647191166,0.2875000002483526,0.0698211987249129,0.1458333355064193
Qwen2.5-3B,aime,L4,2,0.0833333337213843,0.0417083116536814,0.3156249995032946,0.0493974077858575,0.1916666651765505
Qwen2.5-3B,aime,L4,4,0.1362847244987884,0.0339834621942442,0.4039930664002895,0.0632552787162373,0.2631944529712199
Qwen2.5-3B,aime,L4,8,0.1816716318329175,0.03359395404652,0.6129166732231777,0.0638931401908425,0.3719717264175414
Qwen2.5-3B,aime,L4,16,0.225481999417146,0.0370631637767928,0.741666669646899,0.0483356000238262,0.4956168085336685
Qwen2.5-3B,aime,L4,32,0.3029770248879988,0.0694628912807065,0.8364583303531011,0.0396928291297303,0.6131655126810074
Qwen2.5-3B,aime,L4,64,0.2725694458931684,0.0640411839993707,0.8979166646798451,0.0254132601273908,0.6617013911406199
Qwen2.5-3B,aime,L4,128,0.2305555536101261,0.0332115849062314,0.944791669646899,0.0364077023256051,0.6725694388151169
Qwen2.5-3B,aime,L4,256,0.2187500009313225,0.0832916564236921,0.9645833323399228,0.0309569595287968,0.7104166646798452
Qwen2.5-3B,aime,L4,512,0.1593750002017865,0.0524652695549255,1.0,0.0,0.7427083353201549
Qwen2.5-3B,aime,L4,1024,0.1072916666356225,0.0515640757195338,0.9979166686534882,0.0072168714823187,0.7739583303531011
Qwen2.5-3B,aime,L4,1536,0.0708333350097139,0.0341565036302188,1.0,0.0,0.7447916666666667
Qwen2.5-3B,aime,L4,2048,0.0385416666977107,0.0268580365485021,1.0,0.0,0.7604166666666666
Qwen2.5-3B,aime,L5,1,0.0175757578207235,0.0054628732671253,0.0184848487038503,0.0037412977622383,0.0243181821015295
Qwen2.5-3B,aime,L5,2,0.0229166668049539,0.0042989261844964,0.0212878789357614,0.0033583829132508,0.0267424245449629
Qwen2.5-3B,aime,L5,4,0.0239835867700589,0.0049087437080347,0.0215088389729233,0.0048154775593857,0.0283143948989383
